x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
1745247413.383,0.81,1745849011.795,0.54,1753084673.151,0.58,1756907356.608,0.62,1756960853.501,0.62,1756981834.009,0.62
1745247428.773,0.8,1745849027.185,0.54,1753084688.542,0.59,1756907371.998,0.62,1756960868.891,0.61,1756981849.399,0.61
1745247444.163,0.8,,,1753084703.931,0.57,1756907387.388,0.62,1756960884.281,0.62,1756981864.789,0.62
1745247459.553,0.79,,,1753084719.321,0.58,1756907402.778,0.62,1756960899.671,0.62,1756981880.179,0.62
1745247474.943,0.8,,,1753084734.711,0.58,1756907418.168,0.62,1756960915.061,0.62,1756981895.569,0.63
1745247490.333,0.8,,,1753084750.101,0.58,1756907433.558,0.62,1756960930.441,0.61,1756981910.959,0.63
1745247505.723,0.81,,,1753084765.491,0.58,1756907448.948,0.62,1756960945.831,0.62,1756981926.349,0.62
1745247521.113,0.8,,,1753084780.891,0.59,1756907464.338,0.62,1756960961.221,0.61,1756981941.739,0.62
1745247536.503,0.8,,,1753084796.281,0.59,1756907479.728,0.62,1756960976.611,0.62,1756981957.129,0.62
1745247551.902,0.81,,,1753084811.681,0.59,1756907495.118,0.62,1756960992.001,0.62,1756981972.519,0.62
1745247567.293,0.81,,,1753084827.071,0.58,1756907510.508,0.62,1756961007.391,0.62,1756981987.909,0.61
1745247582.683,0.8,,,1753084842.461,0.59,1756907538.208,0.62,1756961035.091,0.62,1756982015.618,0.61
1745247598.073,0.8,,,1753084857.851,0.59,1756907553.598,0.62,1756961050.481,0.62,1756982031.009,0.62
1745247613.463,0.81,,,1753084873.241,0.59,1756907568.988,0.62,1756961065.871,0.62,1756982046.399,0.62
1745247628.853,0.81,,,1753084888.631,0.59,1756907584.378,0.63,1756961081.261,0.62,1756982061.789,0.63
1745247644.253,0.81,,,1753084904.021,0.59,1756907599.768,0.62,1756961096.651,0.62,1756982077.179,0.62
1745247659.643,0.81,,,1753084919.411,0.59,1756907615.148,0.62,1756961112.041,0.62,1756982092.569,0.62
1745247675.033,0.8,,,1753084934.801,0.59,1756907630.538,0.62,1756961127.431,0.62,1756982107.959,0.62
1745247690.423,0.81,,,1753084950.191,0.59,1756907645.928,0.62,1756961142.821,0.62,1756982123.349,0.62
1745247705.814,0.8,,,1753084965.581,0.59,1756907661.318,0.62,1756961158.221,0.62,1756982138.739,0.65
1745247721.203,0.81,,,1753084980.971,0.59,1756907676.708,0.62,1756961173.611,0.62,1756982154.129,0.66
1745247748.843,0.8,,,1753084996.361,0.59,1756907692.098,0.63,1756961189.011,0.63,1756982169.519,0.65
1745247764.233,0.81,,,1753085011.751,0.59,1756907704.138,0.62,1756961201.05,0.62,1756982181.558,0.63
1745247779.623,0.81,,,1753085027.141,0.59,1756907719.529,0.63,1756961216.441,0.63,1756982196.949,0.65
1745247795.013,0.81,,,1753085042.531,0.59,1756907734.918,0.62,1756961231.831,0.62,1756982212.339,0.64
1745247810.403,0.81,,,1753085057.921,0.59,1756907750.308,0.63,1756961247.231,0.62,1756982227.729,0.65
1745247825.793,0.8,,,1753085073.311,0.59,1756907765.698,0.62,1756961262.621,0.63,1756982243.119,0.65
1745247841.183,0.81,,,1753085088.701,0.59,1756907781.088,0.63,1756961278.021,0.62,1756982258.509,0.65
1745247856.573,0.8,,,1753085104.1,0.59,1756907796.478,0.62,1756961293.411,0.63,1756982273.899,0.64
1745247871.964,0.81,,,1753085119.491,0.59,1756907811.878,0.63,1756961308.801,0.63,1756982289.289,0.64
1745247887.353,0.8,,,1753085134.881,0.59,1756907827.268,0.63,1756961324.191,0.62,1756982304.679,0.64
1745247902.743,0.81,,,1753085150.271,0.59,1756907842.658,0.63,1756961339.581,0.63,1756982320.069,0.65
1745247914.783,0.8,,,1753085177.911,0.59,1756907858.048,0.63,1756961354.971,0.62,1756982335.459,0.64
1745247930.173,0.81,,,1753085193.301,0.59,1756907873.438,0.64,1756961370.361,0.63,1756982350.849,0.65
1745247945.563,0.81,,,1753085208.691,0.59,1756907888.828,0.63,1756961385.751,0.63,1756982366.247,0.65
1745247960.953,0.81,,,1753085224.081,0.59,1756907904.218,0.63,1756961401.141,0.63,1756982381.639,0.65
1745247976.343,0.81,,,1753085239.471,0.59,1756907919.608,0.63,1756961416.531,0.63,1756982397.029,0.65
1745247991.734,0.81,,,1753085254.861,0.6,1756907965.778,0.64,1756961431.921,0.63,1756982412.419,0.65
1745248007.123,0.81,,,1753085270.251,0.59,1756907981.168,0.64,1756961447.311,0.63,1756982427.809,0.62
1745248022.513,0.81,,,1753085285.641,0.6,1756907996.558,0.64,1756961462.701,0.63,1756982443.199,0.62
1745248037.903,0.81,,,1753085301.031,0.6,1756908011.948,0.64,1756961478.091,0.63,1756982458.599,0.62
1745248053.293,0.8,,,1753085316.421,0.6,1756908027.338,0.63,1756961493.481,0.63,1756982473.989,0.63
1745248068.683,0.81,,,1753085331.811,0.6,1756908042.729,0.63,1756961508.871,0.62,1756982489.379,0.62
1745248084.083,0.81,,,1753085343.851,0.6,1756908058.118,0.63,1756961524.261,0.63,1756982504.769,0.63
1745248099.473,0.8,,,1753085359.241,0.6,1756908073.508,0.64,1756961539.651,0.63,1756982520.159,0.63
1745248114.873,0.8,,,1753085374.631,0.6,1756908088.898,0.63,1756961555.041,0.63,1756982535.549,0.63
1745248130.263,0.8,,,1753085390.021,0.6,1756908104.288,0.63,1756961570.431,0.63,1756982550.939,0.63
1745248145.653,0.81,,,1753085405.411,0.6,1756908119.678,0.62,1756961585.821,0.63,1756982566.329,0.63
1745248161.043,0.8,,,1753085420.801,0.6,1756908135.078,0.63,1756961601.211,0.63,1756982581.719,0.62
1745248176.433,0.8,,,1753085436.192,0.6,1756908150.468,0.63,1756961616.601,0.63,1756982597.109,0.63
1745248191.823,0.81,,,1753085451.581,0.6,1756908165.868,0.63,1756961631.991,0.63,1756982612.499,0.63
1745248207.213,0.81,,,1753085466.971,0.6,1756908181.258,0.63,1756961647.381,0.63,1756982627.889,0.63
1745248222.603,0.81,,,1753085482.361,0.6,1756908196.658,0.63,1756961662.781,0.63,1756982643.279,0.62
1745248237.993,0.81,,,1753085497.751,0.6,1756908212.048,0.63,1756961678.171,0.63,1756982658.669,0.64
1745248253.383,0.8,,,1753085513.141,0.61,1756908227.438,0.62,1756961693.57,0.63,1756982674.059,0.63
1745248268.773,0.81,,,1753085528.531,0.61,1756908255.078,0.63,1756961708.961,0.63,1756982689.449,0.64
1745248284.163,0.81,,,1753085543.921,0.6,1756908270.468,0.63,1756961724.351,0.63,1756982704.839,0.64
1745248299.553,0.81,,,1753085559.311,0.6,1756908285.858,0.63,1756961751.991,0.63,1756982732.479,0.66
1745248314.943,0.81,,,1753085574.701,0.6,1756908301.248,0.63,1756961767.381,0.63,1756982747.87,0.65
1745248330.333,0.81,,,1753085590.091,0.61,1756908316.638,0.65,1756961782.771,0.63,1756982763.259,0.64
